;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
284;21;LC;118246;B;17;0;;0.98835;2.90060;0.22558;Branca;514;;0
185;12;LC;118192;B;25;0;;3.36624;2.31528;0.19736;Branca;514;;0
723;61;CH;111820;B;5;0;;1.43499;2.25728;0.06711;Branca;509;;0
170;11;LC;118103;E;27;0;;2.38734;2.25308;0.15051;Branca;514;;0
735;62;CH;96596;B;7;0;;1.69675;2.03032;0.19839;Branca;509;;0
858;74;CH;81689;D;23;0;;2.34674;1.87883;0.11625;Branca;509;;0
1011;87;CH;118024;E;4;0;;2.44871;1.81367;0.12029;Branca;509;;0
573;48;CH;66219;A;1;0;;1.47100;1.73902;0.23765;Branca;509;;0
953;82;CH;88194;E;19;0;;1.35668;1.69195;0.10234;Branca;509;;0
295;22;LC;118232;E;16;0;;0.78671;1.66055;0.07838;Branca;514;;0
643;54;CH;86751;C;23;0;;3.45284;1.65017;0.09484;Branca;509;;0
351;27;LC;118256;D;17;0;;1.92141;1.54986;0.12387;Branca;514;;0
845;72;CH;87709;C;3;0;;2.06585;1.48052;0.17341;Branca;509;;0
894;77;CH;84888;B;15;0;;2.31070;1.45829;0.17477;Branca;509;;0
460;37;LC;118235;E;22;0;;1.44895;1.42761;0.14063;Branca;514;;0
1040;90;CH;89147;B;18;0;;3.04427;1.36609;0.23176;Branca;509;;0
558;46;CH;97975;A;1;0;;1.45676;1.36180;0.21595;Branca;509;;0
938;81;CH;88306;B;23;0;;1.78628;1.34891;0.18079;Branca;509;;0
802;68;CH;118054;A;28;0;;2.07127;1.34720;0.07736;Branca;509;;0
907;78;CH;88233;A;15;0;;1.39689;1.31818;0.11442;Branca;509;;0
148;9;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Branca;514;;0
270;20;LC;118028;D;29;0;;2.78473;1.21063;0.13942;Branca;514;;0
1019;88;CH;97013;A;24;0;;0.73411;1.20733;0.01008;Branca;509;;0
829;71;CH;88308;C;3;0;;1.40104;1.15692;0.09673;Branca;509;;0
483;39;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Branca;514;;0
616;52;CH;33960;B;14;0;;3.73216;1.13742;0.16303;Branca;509;;0
428;34;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Branca;514;;0
539;45;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Branca;514;;0
757;64;CH;95648;C;8;0;;2.21046;1.12907;0.18621;Branca;509;;0
791;67;CH;111894;B;27;0;;2.21881;1.10809;0.13721;Branca;509;;0
1000;86;CH;118029;B;5;0;;2.63717;1.07054;0.22582;Branca;509;;0
516;42;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Branca;514;;0
230;16;LC;118134;A;26;0;;3.34867;1.04002;0.20217;Branca;514;;0
769;65;CH;118038;D;26;0;;3.49023;1.02573;0.18725;Branca;509;;0
885;76;CH;84769;E;11;0;;2.20133;1.01836;0.12996;Branca;509;;0
915;79;CH;86934;D;17;0;;0.61655;1.00168;0.04145;Branca;509;;0
395;31;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Branca;514;;0
367;29;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Branca;514;;0
1023;89;CH;11601;D;15;0;;1.20499;0.97500;0.14600;Branca;509;;0
384;30;LC;118215;A;2;0;;3.60176;0.95343;0.15078;Branca;514;;0
680;57;CH;118034;B;9;0;;2.89911;0.93429;0.16213;Branca;509;;0
8;1;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Branca;514;1.00000;0
306;23;LC;118174;C;19;0;;3.99087;0.86875;0.18680;Branca;514;;0
40;2;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Branca;514;1.00000;0
604;50;CH;118022;E;26;0;;3.17381;0.77149;0.09188;Branca;509;;0
534;44;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Branca;514;;0
193;13;LC;81992;D;12;0;;3.58061;0.76482;0.09494;Branca;514;;0
446;36;LC;96525;A;28;0;;3.89027;0.76252;0.11963;Branca;514;;0
417;33;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Branca;514;;0
402;32;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Branca;514;;0
590;49;CH;111877;C;10;0;;2.54319;0.68737;0.16087;Branca;509;;0
77;4;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Branca;514;1.00000;0
129;7;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Branca;514;;0
878;75;CH;118033;C;6;0;;3.33353;0.65950;0.32563;Branca;509;;0
97;5;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Branca;514;0.00000;0
486;40;LC;59976;C;30;0;;3.49523;0.62543;0.17905;Branca;514;;0
967;83;CH;118125;E;21;0;;1.14176;0.61713;0.00161;Branca;509;;0
50;3;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Branca;514;0.00000;0
982;85;CH;85139;B;24;0;;2.89534;0.60872;0.22906;Branca;509;;0
702;59;CH;96447;D;20;0;;3.56414;0.51626;0.13663;Branca;509;;0
18;1;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Branca;514;0.00000;0
65;3;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Branca;514;1.00000;0
688;58;CH;84811;A;2;0;;2.78428;0.48121;0.18255;Branca;509;;0
105;5;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Branca;514;1.00000;0
246;18;LC;86932;A;14;0;;0.66090;0.48081;0.02482;Branca;514;;0
160;10;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Branca;514;;0
934;80;CH;118158;C;6;0;;2.22546;0.46653;0.15939;Branca;509;;0
495;41;LC;23833;C;20;0;;3.34117;0.44968;0.20117;Branca;514;;0
571;47;CH;118108;C;22;0;;2.80224;0.44492;0.21353;Branca;509;;0
816;70;CH;66498;C;30;0;;1.31749;0.44063;0.18259;Branca;509;;0
360;28;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Branca;514;;0
68;4;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Branca;514;0.00000;0
25;2;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Branca;514;0.00000;0
857;73;CH;112135;A;27;0;;2.05925;0.34452;0.21848;Branca;509;;0
740;63;CH;84147;A;25;0;;2.06700;0.32546;0.20034;Branca;509;;0
713;60;CH;96302;B;7;0;;1.13705;0.24894;0.00655;Branca;509;;0
972;84;CH;87057;D;20;0;;1.22262;0.24530;0.17471;Branca;509;;0
198;14;LC;32261;E;24;0;;4.49928;0.23211;0.20659;Branca;514;;0
310;24;LC;76167;D;1;0;;1.82086;0.22830;0.00715;Branca;514;;0
614;51;CH;111844;E;11;0;;2.33881;0.22143;0.04965;Branca;509;;0
334;26;LC;86496;C;30;0;;2.30147;0.21937;0.08452;Branca;514;;0
526;43;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Branca;514;;0
653;55;CH;83820;B;12;0;;2.24266;0.19945;0.14787;Branca;509;;0
468;38;LC;118117;C;10;0;;2.52418;0.19306;0.22915;Branca;514;;0
142;8;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Branca;514;;0
253;19;LC;24785;D;28;0;;4.08970;-0.15593;0.18836;Branca;514;;0
661;56;CH;77940;A;16;0;;1.69265;-0.16281;0.19993;Branca;509;;0
236;17;LC;89874;A;10;0;;2.50294;-0.16837;0.05346;Branca;514;;0
117;6;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Branca;514;;0
325;25;LC;89317;E;28;0;;3.23142;-0.18840;0.16189;Branca;514;;0
431;35;LC;68624;A;30;0;;1.75160;-0.24965;0.17322;Branca;514;;0
627;53;CH;78903;C;11;0;;1.56820;-0.25115;0.00814;Branca;509;;0
219;15;LC;118260;E;15;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Branca;514;;0
770;66;CH;76955;B;27;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Branca;509;;0
813;69;CH;118067;C;29;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Branca;509;;0
